1:  72 107 130 150 164 189 194 200 203 220 
2:  14 18 42 51 79 86 108 110 141 
3:  37 45 67 76 115 153 228 241 
4:  5 26 55 77 78 112 128 138 159 239 240 
5:  26 32 55 67 77 102 104 217 226 4 
6:  16 54 98 99 117 129 140 147 166 178 236 
7:  42 57 65 71 101 125 148 157 181 184 188 197 230 
8:  11 30 43 82 85 143 152 179 207 210 212 221 244 246 
9:  23 33 58 68 114 142 195 
10:  105 106 123 175 246 
11:  30 43 82 85 143 152 175 207 212 244 246 8 
12:  28 35 36 41 88 94 113 121 170 182 198 242 
13:  19 100 103 129 133 162 174 192 
14:  18 51 86 129 133 166 2 
15:  24 39 49 58 66 80 114 149 163 202 204 209 211 222 225 
16:  54 98 99 117 129 140 147 166 178 236 6 
17:  41 81 121 134 158 170 182 223 229 
18:  35 51 86 94 141 14 2 
19:  70 79 84 100 103 174 179 192 243 13 
20:  40 75 89 116 127 164 190 194 220 247 
21:  27 62 65 71 138 184 188 230 233 240 
22:  34 53 56 73 120 145 
23:  33 58 68 114 176 195 222 9 
24:  39 66 80 114 149 163 206 209 211 222 225 15 
25:  60 63 96 111 199 
26:  55 77 78 102 138 217 226 239 240 5 4 
27:  62 65 71 138 184 188 230 233 240 21 
28:  35 41 94 113 121 170 182 198 223 242 12 
29:  47 64 91 109 137 146 167 218 224 227 
30:  43 70 79 82 143 152 156 179 207 210 212 214 219 221 244 11 8 
31:  37 115 153 228 241 
32:  52 77 93 102 104 144 151 160 168 185 187 201 208 226 231 248 5 
33:  58 114 163 222 23 9 
34:  53 56 73 120 145 22 
35:  36 41 88 94 141 198 28 18 12 
36:  41 88 98 182 35 12 
37:  76 95 115 153 228 241 31 3 
38:  74 109 126 183 215 
39:  66 80 149 206 209 211 24 15 
40:  75 89 116 150 164 190 194 220 247 20 
41:  81 88 121 170 182 198 36 35 28 17 12 
42:  86 101 108 135 141 157 181 196 7 2 
43:  82 152 156 207 210 212 219 221 244 30 11 8 
44:  49 59 68 80 93 97 144 160 168 176 185 191 202 204 222 225 231 248 
45:  48 67 76 83 95 104 217 232 3 
46:  161 169 177 186 
47:  64 91 109 137 146 167 218 224 29 
48:  50 83 104 144 185 201 216 217 232 248 45 
49:  59 80 93 97 144 160 176 185 191 202 204 222 225 248 44 15 
50:  59 80 97 104 144 185 201 232 248 48 
51:  70 79 86 110 133 214 18 14 2 
52:  77 93 102 151 168 187 208 226 231 32 
53:  56 73 81 119 120 134 145 229 34 22 
54:  99 117 140 147 16 6 
55:  67 78 112 128 136 159 217 239 26 5 4 
56:  73 119 120 145 161 53 34 22 
